code,description,category
Y30.XXXA,"Falling, jumping or pushed from a high place, undetermined intent, initial encounter",General
Y30.XXXD,"Falling, jumping or pushed from a high place, undetermined intent, subsequent encounter",General
Y35.831S,"Legal intervention involving a conducted energy device, law enforcement official injured, sequela",General
Y35.839A,"Legal intervention involving a conducted energy device, unspecified person injured, initial encounter",General
Y35.839D,"Legal intervention involving a conducted energy device, unspecified person injured, subsequent encounter",General
Z11.3,Encounter for screening for infections with a predominantly sexual mode of transmission,General
D78.01,Intraoperative hemorrhage and hematoma of the spleen complicating a procedure on the spleen,General
D78.11,Accidental puncture and laceration of the spleen during a procedure on the spleen,General
L76.01,Intraoperative hemorrhage and hematoma of skin and subcutaneous tissue complicating a dermatologic procedure,General
L76.11,Accidental puncture and laceration of skin and subcutaneous tissue during a dermatologic procedure,General
O98.311,"Other infections with a predominantly sexual mode of transmission complicating pregnancy, first trimester",General
O98.312,"Other infections with a predominantly sexual mode of transmission complicating pregnancy, second trimester",General
O98.313,"Other infections with a predominantly sexual mode of transmission complicating pregnancy, third trimester",General
O98.319,"Other infections with a predominantly sexual mode of transmission complicating pregnancy, unspecified trimester",General
T50.A11S,"Poisoning by pertussis vaccine, including combinations with a pertussis component, accidental (unintentional), sequela",General
T50.A13A,"Poisoning by pertussis vaccine, including combinations with a pertussis component, assault, initial encounter",General
T50.A13D,"Poisoning by pertussis vaccine, including combinations with a pertussis component, assault, subsequent encounter",General
T50.A14A,"Poisoning by pertussis vaccine, including combinations with a pertussis component, undetermined, initial encounter",General
T50.A14D,"Poisoning by pertussis vaccine, including combinations with a pertussis component, undetermined, subsequent encounter",General
T50.A15A,"Adverse effect of pertussis vaccine, including combinations with a pertussis component, initial encounter",General
T50.A15D,"Adverse effect of pertussis vaccine, including combinations with a pertussis component, subsequent encounter",General
T50.A21A,"Poisoning by mixed bacterial vaccines without a pertussis component, accidental (unintentional), initial encounter",General
T50.A21D,"Poisoning by mixed bacterial vaccines without a pertussis component, accidental (unintentional), subsequent encounter",General
T50.A22S,"Poisoning by mixed bacterial vaccines without a pertussis component, intentional self-harm, sequela",General
T71.222S,"Asphyxiation due to being trapped in a car trunk, intentional self-harm, sequela",General
T71.232S,"Asphyxiation due to being trapped in a (discarded) refrigerator, intentional self-harm, sequela",General
T81.60XA,"Unspecified acute reaction to foreign substance accidentally left during a procedure, initial encounter",General
T81.60XD,"Unspecified acute reaction to foreign substance accidentally left during a procedure, subsequent encounter",General
T81.61XA,"Aseptic peritonitis due to foreign substance accidentally left during a procedure, initial encounter",General
T81.61XD,"Aseptic peritonitis due to foreign substance accidentally left during a procedure, subsequent encounter",General
T81.69XA,"Other acute reaction to foreign substance accidentally left during a procedure, initial encounter",General
T81.69XD,"Other acute reaction to foreign substance accidentally left during a procedure, subsequent encounter",General
V18.3XXS,"Person boarding or alighting a pedal cycle injured in noncollision transport accident, sequela",General
V41.4XXS,"Person boarding or alighting a car injured in collision with pedal cycle, sequela",General
V43.44XA,"Person boarding or alighting a car injured in collision with van, initial encounter",General
V43.44XD,"Person boarding or alighting a car injured in collision with van, subsequent encounter",General
V48.4XXA,"Person boarding or alighting a car injured in noncollision transport accident, initial encounter",General
V48.4XXD,"Person boarding or alighting a car injured in noncollision transport accident, subsequent encounter",General
W23.2XXA,"Caught, crushed, jammed or pinched between a moving and stationary object, initial encounter",General
