genericName,brandName,dosageForm,strength,classification
"MARSDENIA CUNDURANGO WHOLE, DIBASIC POTASSIUM PHOSPHATE, and LYCOSA TARANTULA",AM-1,SOLUTION,8 [hp_X]/mL,General
OCTINOXATE and TITANIUM DIOXIDE,SHISEIDO SYNCHRO SKIN SELF-REFRESHING FOUNDATION 460 TOPAZ,EMULSION,1.69 g/30mL,General
OXYGEN,OXYGEN,GAS,99 L/100L,General
"ZINC OXIDE, OCTISALATE, and OCTOCRYLENE",BABYGANICS SPF 50 Plus SUNSCREEN,SPRAY,50 mg/mL,General
"Avobenzone, Homosalate, Octisalate, Octocrylene",cle de peau BEAUTE UV PROTECTIVE N,CREAM,1.7825 g/50mL,General
caffeine,caffeine,TABLET,200 mg/1,General
brexpiprazole,Rexulti,TABLET,1 mg/1,General
Sodium Fluoride,Anticavity,RINSE,.1 mg/mL,General
NORETHINDRONE,Emzahh,TABLET,.35 mg/1,General
VERATRUM VIRIDE ROOT,VERATRUM VIRIDE,PELLET,200 [kp_C]/200[kp_C],General
WYETHIA HELENIOIDES ROOT,Wyethia helenioides,PELLET,6 [hp_C]/1,General
alprazolam,Alprazolam XR,"TABLET, EXTENDED RELEASE",3 mg/1,General
Fluoride,CVS Pharmacy Enamel Guard,"PASTE, DENTIFRICE",5 g/100g,General
dexamethasone,dexamethasone,TABLET,2 mg/1,General
paroxetine hydrochloride,PAROXETINE,"TABLET, FILM COATED",20 mg/1,General
Clorazepate Dipotassium,Clorazepate Dipotassium,TABLET,15 mg/mg,General
Atomoxetine,Atomoxetine,CAPSULE,40 mg/1,General
Oxcarbazepine,Oxcarbazepine,"TABLET, FILM COATED",150 mg/1,General
Ergocalciferol,Ergocalciferol,"CAPSULE, LIQUID FILLED",1.25 mg/1,General
ALCOHOL,Simple Hygiene foaming hand Sanitizer 62,LIQUID,.62 mL/mL,General
Olanzapine pamoate,ZYPREXA Relprevv,KIT,N/A,General
"Octinoxate, Titanium Dioixide, Octisalate",No7 Perfect and Perfect Advanced All in One Foundation SPF 50 Honey,CREAM,6.5 g/30g,General
OXYCODONE HYDROCHLORIDE,OXYCODONE HYDROCHLORIDE,TABLET,5 mg/1,General
CYTARABINE,CYTARABINE,"INJECTION, SOLUTION",20 mg/mL,General
"OCTISALATE, TITANIUM DIOXIDE",FOREVER Transfer-proof - 24h foundation High perfection Concentrated floral skincare with sunscreen Broad spectrum SPF 15 5W,EMULSION,35 mg/mL,General
Sunscreen,Arizona Sun Sunscreen Water Resistant SPF 30,LOTION,30 mg/g,General
"Myrtus communis, Apis mellifica, Argentum metallicum",Unda 26,LIQUID,4 [hp_X]/20mL,General
Dimethicone,Life is healed Daily Moisturizing,LOTION,12 mg/mL,General
Benazepril Hydrochloride,Benazepril Hydrochloride,"TABLET, COATED",20 mg/1,General
Topiramate,Topiramate,TABLET,25 mg/1,General
Primidone,Primidone,TABLET,50 mg/1,General
Methylprednisolone,Methylprednisolone,TABLET,32 mg/1,General
ZINC OXIDE,Badger Active SPF 30 Mineral Sunscreen,CREAM,18.75 g/100mL,General
lamotrigine,lamotrigine,"TABLET, FOR SUSPENSION",25 mg/1,General
Asenapine,Asenapine,TABLET,2.5 mg/1,General
Marshelder Burweed,IVA XANTHIFOLIA POLLEN,"INJECTION, SOLUTION",.05 g/mL,General
Olive Pollen,OLEA EUROPAEA POLLEN,"INJECTION, SOLUTION",.05 g/mL,General
MIXED RAGWEED,MIXED RAGWEED,"INJECTION, SOLUTION",.1 g/mL,General
simthicone,Little Remedies Gas Relief Drops,LIQUID,20 mg/.3mL,General
Hysteria Drops,Hysteria Drops 2119,LIQUID,6 [hp_X]/59mL,General
gabapentin,gabapentin,CAPSULE,100 mg/1,General
Rhus toxicodendron,Rhus toxicodendron 7132,LIQUID,6 [hp_X]/29.5mL,General
MENTHOL,Cherry Throat Drops,LOZENGE,1.4 mg/1,General
Magnesium Citrate,citroma,LIQUID,1.745 g/29.6mL,General
Benzalkonium chloride,Saniclean,SOAP,.14 g/100mL,General
benzoyl peroxide,Differin Daily Deep Cleanser with BPO,SOLUTION,5 g/100mL,General
Hydrocodone Bitartrate and Acetaminophen,Hydrocodone Bitartrate and Acetaminophen,TABLET,325 mg/1,General
OCTREOTIDE ACETATE,Octreotide,"INJECTION, SOLUTION",1000 ug/mL,General
Melphalan Hydrochloride,Melphalan,KIT,N/A,General
TRASTUZUMAB,HERZUMA,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",150 mg/7.15mL,General
Aralia Racemosa,Aralia Racemosa,PELLET,100 [hp_C]/1,General
Aurum Muriaticum,Aurum Muriaticum,PELLET,6 [hp_C]/1,General
Bryonia Alba,Bryonia Alba,PELLET,1 [hp_Q]/1,General
Aethusa cynapium,Aethusa cynapium,PELLET,100 [hp_C]/1,General
cyclobenzaprine hydrochloride,Cyclobenzaprine Hydrochloride,"TABLET, FILM COATED",5 mg/1,General
Zolpidem tartrate,Zolpidem tartrate,"TABLET, EXTENDED RELEASE",6.25 mg/1,General
olmesartan medoxomil,olmesartan medoxomil,"TABLET, FILM COATED",40 mg/1,General
Oxycodone Hydrochloride,Oxycodone Hydrochloride,TABLET,30 mg/1,General
Hydrocodone Bitartrate and Acetaminophen,Hydrocodone Bitartrate and Acetaminophen,TABLET,325 mg/1,General
Valacyclovir Hydrochloride,Valacyclovir Hydrochloride,"TABLET, FILM COATED",500 mg/1,General
Tenofovir Disoproxil Fumarate,Tenofovir Disoproxil Fumarate,"TABLET, FILM COATED",150 mg/1,General
"Arsenicum Iodatum, Kali Bromatum, Kali Muriaticum, Natrum Bromatum, Niccolum Sulphuricum, Sulphur Iodatum, Viola Tricolor, Zincum Bromatum.",Eczema Relief,LIQUID,8 [hp_X]/59mL,General
MOXIFLOXACIN HYDROCHLORIDE,Moxifloxacin,"INJECTION, SOLUTION",400 mg/250mL,General
doxycycline,Doxycycline,TABLET,150 mg/1,General
Benralizumab,FASENRA,"INJECTION, SOLUTION",30 mg/mL,General
Aluminum Zirconium Tetrachlorohydrex GLY,Degree Clinical Sheer Powder Antiperspirant and Deodorant,STICK,20 g/100g,General
Advanced Vanilla and Jasmine 72H Antiperspirant Deodorant,Degree,STICK,16 g/100g,General
Advanced Care Invisible Sheer Fresh Antiperspirant Deodorant,Dove,STICK,11.4 g/100g,General
isoniazid,Isoniazid,TABLET,100 mg/1,General
"Standardized Grass Pollen, Redtop","Standardized Grass Pollen, Redtop","INJECTION, SOLUTION",10000 [BAU]/mL,General
"Potato, White Solanum tuberosum","Food - Plant Source, Potato, White Solanum tuberosum","INJECTION, SOLUTION",.1 g/mL,General
Levetiracetam in Sodium Chloride,Levetiracetam,INJECTION,1500 mg/100mL,General
Iced Pear SPF 15 Broad Spectrum Lip Balm,Iced Pear SPF 15 Broad Spectrum Lip Balm,STICK,.09 g/4.25g,General
Temozolomide,Temozolomide,CAPSULE,250 mg/1,General
SODIUM CHLORIDE,Sodium chloride,"INJECTION, SOLUTION",9 mg/mL,General
"Dextromethorphan hydrobromide, Guaifenesin, Phenylephrine hydrochloride",Giltuss Childrens Cough and Cold,SOLUTION,7.5 mg/2.5mL,General
Cetirizine Hydrochloride,Childrens Cetirizine Hydrochloride,SOLUTION,5 mg/5mL,General
Polymyxin B Sulfate and Trimethoprim Sulfate,Polymyxin B Sulfate and Trimethoprim,SOLUTION/ DROPS,10000 [USP'U]/mL,General
Lisinopril and Hydrochlorothiazide Tablets,Lisinopril and Hydrochlorothiazide,TABLET,25 mg/1,General
cyclobenzaprine hydrochloride,CYCLOBENZAPRINE HYDROCHLORIDE,"TABLET, FILM COATED",10 mg/1,General
Sucralfate,Sucralfate,TABLET,1 g/1,General
"acetaminophen, aspirin, caffeine tablet","Extra Strength Headache, Caseys 4good",TABLET,250 mg/1,General
dexmethylphenidate hydrochloride,Focalin XR,"CAPSULE, EXTENDED RELEASE",15 mg/1,General
Benzalkonium Chloride,Zep Mild Antibacterial,LIQUID,.13 g/100mL,General
Methocarbamol Tablets,Methocarbamol,"TABLET, COATED",500 mg/1,General
"Menthol, unspecified form",Cold Therapy Pain Relief,GEL,36 mg/mL,General
isosorbide mononitrate,isosorbide mononitrate,TABLET,10 mg/1,General
Acetaminophen,Pain Reliever Extra Strength,"TABLET, FILM COATED",500 mg/1,General
articaine hydrochloride and epinephrine bitartrate,Articaine HCl and Epinephrine,INJECTION,40 mg/mL,General
MECLIZINE,MECLIZINE HYDROCHLORIDE,TABLET,12.5 mg/1,General
Nicotine Polacrilex,Nicotine,"GUM, CHEWING",2 mg/1,General
Quetiapine,Quetiapine,"TABLET, FILM COATED",25 mg/1,General
zoledronic acid,Zoledronic acid,INJECTION,4 mg/5mL,General
"Calc carb, Nux vom, Sepia, Spongia, Sulphur",Hormoslim,SPRAY,30 [hp_C]/59mL,General
Eszopiclone,Eszopiclone,"TABLET, FILM COATED",3 mg/1,General
Tetrahydrozoline HCI,Walgreens Eye Drops Original 15mL and twin pack,SOLUTION/ DROPS,.05 g/100mL,General
diclofenac sodium,arthritis pain relieving,GEL,10 mg/g,General
Triamcinolone Acetonide,Triamcinolone Acetonide,OINTMENT,1 mg/g,General
Atorvastatin Calcium,Atorvastatin Calcium,"TABLET, FILM COATED",10 mg/1,General
Deferoxamine mesylate,Deferoxamine mesylate,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",2 g/1,General
Mirtazapine,Mirtazapine,"TABLET, FILM COATED",30 mg/1,General
amantadine hydrochloride,amantadine hydrochloride,CAPSULE,100 mg/1,General
pegvaliase-pqpz,Palynziq,"INJECTION, SOLUTION",2.5 mg/.5mL,General
Clobetasol Propionate,Clobetasol Propionate,LOTION,.05 g/100mL,General
Cetirizine Hydrochloride,CABINET Allergy Relief,"TABLET, FILM COATED",10 mg/1,General
Sodium Fluoride,Gelato Neutral pH,GEL,4.086 g/454g,General
Ursodiol,Ursodiol,TABLET,500 mg/1,General
Salicylic Acid,Clarifying Bacne,SPRAY,1 g/100mL,General
Povidone-Iodine,McKesson PVP Prep Solution,LIQUID,1 mg/10mL,General
Aminocaproic Acid,Aminocaproic Acid,TABLET,1000 mg/1,General
Hydrocortisone,Gerigentle,CREAM,10 mg/g,General
Sodium Citrate dihydrate,CVS Health Nausea Relief,"TABLET, CHEWABLE",230 mg/1,General
docusate sodium and sennosides,Stool Softener Plus Stimulant Laxative,TABLET,50 mg/1,General
"ACETAMINOPHEN, DEXTROMETHORPHAN HBr, PHENYLEPHRINE HCl",Multi Symptom Wal Flu Severe Cold,"POWDER, FOR SOLUTION",500 mg/1,General
"Homosalate, Octisalate, Zinc Oxide",Always Liquid Foundation Makeup Sunscreen Broad Spectrum SPF 15 - Soft Ivory,LIQUID,4.25 g/100mL,General
"AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE",Sun Bum 15 Premium Moisturizing Sunscreen 6 OZ,LOTION,20 mg/mL,General
"PREGABALIN capsules, CV","PREGABALIN capsules, CV",CAPSULE,225 mg/1,General
"ESTERIFIED ESTROGENS, METHYLTESTOSTERONE",ESTERIFIED ESTROGENS AND METHYLTESTOSTERONE,TABLET,.625 mg/1,General
Ciprofloxacin Hydrochloride,Ciprofloxacin Hydrochloride,"TABLET, FILM COATED",500 mg/1,General
Diphenhydramine HCl Tablets,Sleep Tabs For Nighttime use,TABLET,25 mg/1,General
CLOBAZAM,CLOBAZAM,TABLET,10 mg/1,General
Zinc Acetate and Pramoxine Hydrochloride,Harris Teetter Calagesic,LOTION,10 mg/mL,General
Aluminum Zirconium Tetrachlorohydrex Gly,Secret Cocoa Butter Invisible,STICK,15 g/100g,General
Stannous Fluoride,Crest Braces Care Cavity Protection,"PASTE, DENTIFRICE",1.4 mg/g,General
Hydroxyzine Hydrochloride Oral,Hydroxyzine Hydrochloride,SOLUTION,10 mg/5mL,General
ISOPROPYL ALCOHOL,Kentex Alcohol Prep Pad Saturated with Isopropyl Alcohol,LIQUID,70 mL/100mL,General
Tobramycin and Dexamethasone,Tobramycin and Dexamethasone,SUSPENSION/ DROPS,1 mg/mL,General
Citalopram,Citalopram,"TABLET, FILM COATED",20 mg/1,General
levofloxacin,levofloxacin,"TABLET, FILM COATED",500 mg/1,General
"CAMPHOR (SYNTHETIC), MENTHOL",SMOOTH GATOR 60-second Pain Relief,CREAM,30 mg/g,General
Zinc Oxide,5-IN-1 TINTED FACE SUNSCREEN - MEDIUM,CREAM,200 mg/g,General
"Avobenzone, Homosalate, Octisalate, Octocrylene",Neutrogena Invisible Daily Defense Sunscreen Body SPF 60 plus,"AEROSOL, SPRAY",30 mg/g,General
MAGNESIUM SULFATE,Epsom Salt,CRYSTAL,1 g/g,General
nicotine polacrilex,Maxi Nicotine,LOZENGE,4 mg/1,General
Ethyl Alcohol,"Smart Care 3 HAND SANITIZERS 1.35 FL OZ (OCEAN, CEDAR and CYPRESS, SANDALWOOD)",KIT,N/A,General
estradiol,Estradiol,PATCH,.0375 mg/d,General
ACETAMINOPHEN,ACETAMINOPHEN,TABLET,500 mg/1,General
Milrinone Lactate,Milrinone Lactate,"INJECTION, SOLUTION",1 mg/mL,General
atovaquone and proguanil hydrochloride,Atovaquone and Proguanil Hydrochloride,"TABLET, FILM COATED",62.5 mg/1,General
metoprolol tartrate,Metoprolol Tartrate,"TABLET, FILM COATED",75 mg/1,General
Lisinopril,Lisinopril,TABLET,10 mg/1,General
Warfarin,Warfarin Sodium,TABLET,3 mg/1,General
Trazodone Hydrochloride,Trazodone Hydrochloride,TABLET,100 mg/1,General
limonene,Purifying Balance Soothing Peeling Pad,LIQUID,.00185573 g/100mL,General
MORPHINE SULFATE,MORPHINE SULFATE,"TABLET, EXTENDED RELEASE",200 mg/1,General
"Dextroamphetamine Saccharate, Amphetamine Aspartate Monohydrate, Dextroamphetamine Sulfate, Amphetamine Sulfate",Mixed Salts of a Single Entity Amphetamine Product XR,"CAPSULE, EXTENDED RELEASE",5 mg/1,General
"Eucalyptol, Menthol, Methyl salicylate, Thymol","Eucalyptol, Menthol, Methyl salicylate, Thymol",MOUTHWASH,.92 mg/mL,General
Cetylpyridinium Chloride,GuruNanda Healthy Gums,MOUTHWASH,1 mg/mL,General
Venlafaxine Hydrochloride,Venlafaxine Hydrochloride,"CAPSULE, EXTENDED RELEASE",37.5 mg/1,General
