genericName,brandName,dosageForm,strength,classification
"Calendula Officinalis, Kali Phosphoricum, Natrum Muriaticum, Arnica Montana, Agave Americana, Cistus Canadensis, Kreosotum, Myrrha, Calcarea Fluorica, Aconitum Napellus, Bismuthum Subnitricum, Sepia, Hepar Sulphuris Calcareum, Mercurius Vivus",Gum Therapy,LIQUID,12 [hp_X]/mL,General
"Antipyrinum, Apis Mellifica, Calendula Officinalis, Cantharis, Copaiva Officinalis, Croton Tiglium, Graphites, Histaminum Hydrochloricum, Ledum Palustre, Mezereum, Natrum Muriaticum, Petroleum, Rhus Venenata, Staphysagria, Sulphur, Urtica Urens",Itch Formula,LIQUID,18 [hp_X]/mL,General
"Lonicera Caprifolium, Flos",Bio Honeysuckle,LIQUID,6 [hp_X]/mL,General
somatropin,Serostim,KIT,N/A,General
Serotonin (Hydrochloride),Serotonin Phenolic,LIQUID,4 [hp_X]/mL,General
Minocycline Hydrochloride,Minocycline Hydrochloride,CAPSULE,100 mg/1,General
Clindamycin Hydrochloride,Clindamycin Hydrochloride,CAPSULE,300 mg/1,General
Clobetasol Propionate,Clobetasol Propionate,CREAM,.5 mg/g,General
"Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis Vaccine, Adsorbed",BOOSTRIX,SUSPENSION,8 ug/.5mL,General
LIDOCAINE,LIDOCAINE,OINTMENT,50 mg/g,General
ACONITUM NAPELLUS,Aconitum napellus,PELLET,30 [hp_C]/30[hp_C],General
AETHUSA CYNAPIUM,Aethusa cynapium,PELLET,200 [kp_C]/200[kp_C],General
Ibuprofen,Medi-First Ibuprofen,"TABLET, FILM COATED",200 mg/1,General
loratadine,Loratadine,TABLET,10 mg/1,General
Olibanum Belladonna comp.,Olibanum Belladonna comp.,LIQUID,10 [hp_X]/mL,General
DOCUSATE SODIUM,Stool Softener Extra Strength,"CAPSULE, LIQUID FILLED",250 mg/1,General
Avobenzone Homosalate Octisalate Octocrylene,Equate-Sunscreen Broad Spectrum SPF 50 ULTRA,SPRAY,30 mg/g,General
Meclizine HCl,Motion-Time Chewable,"TABLET, CHEWABLE",25 mg/251,General
Saccharomyces cerevisiae,Saccharomyces cerevisiae,LIQUID,.1 g/mL,General
"OCTISALATE, TITANIUM DIOXIDE",PARURE GOLD SKIN MATTE FOUNDATION NO-TRANSFER HIGH PERFECTION 24H CARE AND WEAR INFUSED WITH 24K GOLD AND WHITE PEONY WITH SUNSCREEN BROADSPECTRUM SPF 15 4N,EMULSION,35 mg/mL,General
Pyrithione zinc,CeraVe 2 in 1 Anti-Dandruff Hydrating Conditioner,SHAMPOO,10 mg/mL,General
Diethylpropion Hydrochloride,Diethylpropion Hydrochloride ER,"TABLET, EXTENDED RELEASE",75 mg/1,General
midodrine hydrochloride,Midodrine Hydrochloride,TABLET,5 mg/1,General
"Acetaminophen, Chlorpheniramine Maleate, Dextromethorphan Hydrobromide, and Phenylephrine Hydrochloride",Cold Multi-Symptom Daytime and Nighttime,KIT,N/A,General
Benzalkonium Chloride,Ben E. Keith FIHS,SOLUTION,1.3 mg/mL,General
desipramine hydrochloride,DESIPRAMINE HYDROCHLORIDE,TABLET,25 mg/1,General
Atenolol,Atenolol,TABLET,100 mg/1,General
Promethazine Hydrochloride,Promethazine Hydrochloride,TABLET,12.5 mg/1,General
Spironolactone,Spironolactone,"TABLET, COATED",50 mg/1,General
Simvastatin,Simvastatin,"TABLET, FILM COATED",10 mg/1,General
"dextromethorphan hydrobromide, guaifenesin",COUGH AND CHEST CONGESTION,SOLUTION,20 mg/20mL,General
Acetaminophen,Good Sense Pain Relief,TABLET,500 mg/1,General
DABIGATRAN ETEXILATE,DABIGATRAN,CAPSULE,150 mg/1,General
Ibuprofen,Ibuprofen,"TABLET, FILM COATED",400 mg/1,General
MATRICARIA CHAMOMILLA,Chamomilla,PELLET,10 [hp_M]/10[hp_M],General
QUININE SULFATE,Chininum sulphuricum,PELLET,12 [hp_C]/12[hp_C],General
Irbesartan,Irbesartan,TABLET,300 mg/1,General
CINCHONA OFFICINALIS BARK,Cinchona officinalis,PELLET,200 [kp_C]/200[kp_C],General
COBALT,Cobaltum metallicum,PELLET,30 [hp_C]/30[hp_C],General
"Acetaminophen, Dextromethorphan Hydrobromide liquid",Cough and Sore Throat,LIQUID,650 mg/20mL,General
Propafenone Hydrochloride,Propafenone Hydrochloride,"TABLET, COATED",300 mg/1,General
IVABRADINE,IVABRADINE,"TABLET, FILM COATED",7.5 mg/1,General
Pitavastatin Calcium,Pitavastatin,TABLET,4 mg/1,General
Simethicone,Gas relief,"TABLET, CHEWABLE",80 mg/1,General
BENZETHONIUM CHLORIDE,finipil pro/elec,CREAM,195 mg/100mL,General
CELECOXIB,CELECOXIB,CAPSULE,100 mg/1,General
CHLORTHALIDONE,CHLORTHALIDONE,TABLET,25 mg/1,General
VALSARTAN,VALSARTAN,"TABLET, FILM COATED",80 mg/1,General
Epinephrine,Epinephrine Convenience Kit,KIT,N/A,General
Clindamycin Phosphate,Clindamycin Phosphate,GEL,10 mg/g,General
Memantine hydrochloride,Memantine hydrochloride,"TABLET, FILM COATED",10 mg/1,General
risperidone,UZEDY,"INJECTION, SUSPENSION, EXTENDED RELEASE",100 mg/.28mL,General
